=== SHEET: iPhone ===

--- TABLE: LCD Screen ---
Model,Harga (Ribuan)
6,150
6+,230
6s,220
6s+,250
7,250
7+,300
8,280
8+,320
X,450
XR,400
XS,450
XS Max,500
11,450
11 Pro,520
11 Pro Max,550
12 Mini,650
12,500
12 Pro,500
12 Pro Max,700
13,600
13 Mini,850
13 Pro,750
13 Pro Max,850
14,700
14 Plus,750
14 Pro,850
14 Pro Max,950
15,800
15 Plus,950
15 Pro,1050
15 Pro Max,1150


--- TABLE: Baterai ---
Model,Harga (Ribuan)
6,100
6+,120
6s,120
6s+,120
7,120
7+,130
8,120
8+,140
X,200
XR,225
XS,225
XS Max,240
11,250
11 Pro,260
11 Pro Max,275
12 Mini,280
12,300
12 Pro,300
12 Pro Max,320
13,360
13 Mini,320
13 Pro,380
13 Pro Max,400
14,320
14 Plus,350
14 Pro,380
14 Pro Max,400
15,500
15 Plus,600
15 Pro,650
15 Pro Max,700

--- TABLE: Kamera Depan ---
Model,Harga (Ribuan)
6,50
6+,50
6s,50
6s+,100
7,130
7+,140
8,145
8+,160
X,150
XR,150
XS,170
XS Max,230
11,240
11 Pro,250
11 Pro Max,250
12 Mini,170
12,190
12 Pro,200
12 Pro Max,200
13,220
13 Mini,220
13 Pro,230
13 Pro Max,230
14,550
14 Plus,550
14 Pro,550
14 Pro Max,550
15,750
15 Plus,750
15 Pro,750
15 Pro Max,850

--- TABLE: Kamera Belakang ---
Model,Harga (Ribuan)
6,100
6+,100
6s,150
6s+,150
7,150
7+,300
8,230
8+,350
X,350
XR,350
XS,350
XS Max,450
11,42
11 Pro,550
11 Pro Max,550
12 Mini,500
12,480
12 Pro,950
12 Pro Max,850
13,490
13 Mini,490
13 Pro,1000
13 Pro Max,1000
14,700
14 Plus,850
14 Pro,1050
14 Pro Max,1050
15,700
15 Plus,850
15 Pro,1100
15 Pro Max,1200
