=== SHEET: Laptop ===

--- TABLE: LCD Screen ---
Model,Harga (Ribuan)
MacBook Air M1,2500
MacBook Air M2,2800
MacBook Pro 13",3000
MacBook Pro 14",3500
MacBook Pro 16",4000
Asus VivoBook,1200
Asus ROG,2000
Asus TUF,1800
Lenovo IdeaPad,1000
Lenovo ThinkPad,1500
Lenovo Legion,2000
HP Pavilion,1100
HP Envy,1500
HP Omen,1800
Dell Inspiron,1200
Dell XPS,2000
Dell Alienware,2500

--- TABLE: Baterai ---
Model,Harga (Ribuan)
MacBook Air M1,1200
MacBook Air M2,1400
MacBook Pro 13",1500
MacBook Pro 14",1700
MacBook Pro 16",2000
Asus VivoBook,600
Asus ROG,900
Asus TUF,800
Lenovo IdeaPad,500
Lenovo ThinkPad,700
Lenovo Legion,900
HP Pavilion,550
HP Envy,750
HP Omen,850
Dell Inspiron,600
Dell XPS,900
Dell Alienware,1100

--- TABLE: Keyboard ---
Model,Harga (Ribuan)
MacBook Air M1,800
MacBook Air M2,900
MacBook Pro 13",1000
MacBook Pro 14",1200
MacBook Pro 16",1400
Asus VivoBook,400
Asus ROG,600
Asus TUF,550
Lenovo IdeaPad,350
Lenovo ThinkPad,500
Lenovo Legion,600
HP Pavilion,380
HP Envy,520
HP Omen,580
Dell Inspiron,400
Dell XPS,600
Dell Alienware,700

--- TABLE: Trackpad ---
Model,Harga (Ribuan)
MacBook Air M1,500
MacBook Air M2,550
MacBook Pro 13",600
MacBook Pro 14",700
MacBook Pro 16",800
Asus VivoBook,250
Asus ROG,350
Asus TUF,320
Lenovo IdeaPad,220
Lenovo ThinkPad,300
Lenovo Legion,350
HP Pavilion,230
HP Envy,310
HP Omen,340
Dell Inspiron,250
Dell XPS,350
Dell Alienware,400

--- TABLE: Charger ---
Model,Harga (Ribuan)
MacBook Air M1,600
MacBook Air M2,650
MacBook Pro 13",700
MacBook Pro 14",800
MacBook Pro 16",900
Asus VivoBook,200
Asus ROG,350
Asus TUF,300
Lenovo IdeaPad,180
Lenovo ThinkPad,250
Lenovo Legion,350
HP Pavilion,190
HP Envy,260
HP Omen,320
Dell Inspiron,200
Dell XPS,300
Dell Alienware,400

